                                                                    07-JUN-99
      Telephone-linked Weather Station nr  WINDSOR, Colorado             1996
      -----------------------------------------------------------------------
               Temperature      Rel   Dew             Wind        Solar Alflf
            ----------------- Humid Point  Prec -----------------   Rad   ETR
       Date   Max   Min   Ave   Ave   Ave Total   Max Total   Ave Total Total
      MoDay     F     F     F     %     F  inch   mph miles   mph Langl  inch
      ----- ----- ----- ----- ----- ----- ----- ----- ----- ----- ----- -----
       1  1   0.0  33.5  17.6  19.4   3.5 18.80   0.0  29.3   1.2 207.9      
       1  2   0.0  25.3  12.0  19.9   2.5 10.90   0.0  21.4   0.9 178.2      
       1  3   0.0  55.6  13.9  40.2   3.8 20.20   0.0  48.6   2.0 227.9      
       1  4   0.0  44.2   7.8   8.5   3.3 17.40   0.0  22.5   0.9 185.4      
       1  5   0.0  14.1  -5.4  -3.8   1.9  4.50   0.1   8.5   0.4  64.1      
       1  6   0.0  22.6 -13.4  11.8   1.7  1.90   0.0   9.6   0.4  51.8      
       1  7   0.0  36.0   7.4  21.3   2.9 14.30   0.0  13.2   0.6  70.1      
       1  8   0.0  60.3  15.0  35.8   4.0 21.80   0.0  22.1   0.9 119.9      
       1  9   0.0  48.6  24.1  29.1   4.7 25.60   0.0  13.9   0.6  84.2      
       1 10   0.0  53.5  22.6  26.0   4.7 25.30   0.0  48.2   2.0 211.5      
       1 11   0.0  49.1  17.3  29.0   4.3 23.50   0.0  12.5   0.5  90.8      
       1 12   0.0  65.3  19.7  33.2   4.1 22.10   0.0  14.2   0.6  99.2      
       1 13   0.0  72.8  23.4  37.1   3.9 21.40   0.0  14.2   0.6 114.9      
       1 14   0.0  60.3  19.3  29.6   3.6 19.00   0.0  15.7   0.7 101.4      
       1 15   0.0  64.8  20.2  54.4   3.4 17.90   0.0  41.1   1.7 171.1      
       1 16   0.0  60.2  30.3  32.8   3.9 21.00   0.0  36.4   1.5 250.6      
       1 17   0.0  42.2   9.5  11.5   2.5 11.30   0.0  46.8   1.9 462.7      
       1 18   0.0  21.1  -1.0  10.2   1.4         0.0  32.9   1.4 205.2      
       1 19   0.0  47.8   3.1  24.2   2.0  6.50   0.0  25.7   1.1 147.9      
       1 20   0.0  44.2  18.8  25.6   2.0  6.50   0.0  39.6   1.6 219.8      
       1 21   0.0  54.0  16.5  37.0   2.4 10.40   0.0  32.1   1.3 202.2      
       1 22   0.0  40.6   5.5   7.7   2.8 13.60   0.0  17.1   0.7 131.4      
       1 23   0.0  33.0  -3.7  19.3   1.9  4.60   0.1  33.9   1.4 176.3      
       1 24   0.0  45.3   6.3  29.6   2.6 11.80   0.0  33.6   1.4 211.6      
       1 25   0.0  33.3  -7.0  -3.1   2.4  9.60   0.0  17.8   0.7 171.5      
       1 26   0.0  25.4 -14.8   9.7   1.4         0.1  22.1   0.9 102.8      
       1 27   0.0  27.9  -4.8  12.1   1.8  3.80   0.0  16.4   0.7 103.8      
       1 28   0.0  44.0   7.4  15.0   2.7 12.80   0.0  47.5   2.0 214.4      
       1 29   0.0  31.5   5.6   6.6   2.2  8.00   0.0  17.5   0.7 135.1      
       1 30   0.0   6.6  -1.8   2.8   1.4         0.0  12.1   0.5 106.1      
       1 31   0.0  14.1  -3.2   0.1   1.7  2.70   0.1   9.6   0.4  55.1      
       2  1   0.0  13.5 -14.1  -7.9   1.0         0.1  18.9   0.8 102.2      
       2  2   0.0   3.5 -18.5 -16.9   0.8         0.0   9.6   0.4  69.1      
       2  3   0.0  14.3 -22.9  -9.1   0.9         0.0  11.4   0.5  84.5      
       2  4   0.0  42.7 -11.4  35.9   2.0  6.30   0.0  22.1   0.9 101.2      
       2  5   0.0  45.0  22.2  32.2   4.5 24.70   0.0  12.5   0.5  96.3      
       2  6   0.0  54.4  23.0  37.0   4.9 26.70   0.0  18.5   0.8 120.3      
       2  7   0.0  57.7  29.8  41.4   5.7 30.20   0.0  13.5   0.6 111.7      
       2  8   0.0  60.2  30.8  36.8   6.3 32.70   0.0  17.1   0.7 104.4      
       2  9   0.0  68.6  28.1  44.6   5.3 28.60   0.0  14.2   0.6 103.7      
       2 10   0.0  56.0  20.5  22.9   4.2 22.80   0.0  23.5   1.0 164.0      
       2 11   0.0  52.2  14.5  25.0   3.4 18.00   0.0  11.7   0.5 106.2      
       2 12   0.0  58.8  20.1  28.9   3.0 15.10   0.0  13.9   0.6 115.9      
       2 13   0.0  62.5  19.3  37.9   3.2 16.30   0.0  14.2   0.6 101.6      
       2 14   0.0  56.2  27.7  31.9   4.6 24.90   0.0  24.3   1.0 146.7      
       2 15   0.0  48.0  17.0  17.9   4.0 21.50   0.0  30.4   1.3 171.7      
       2 16   0.0  59.5  15.1  41.2   3.3 16.90   0.0  16.0   0.7  96.5      
       2 17   0.0  61.6  27.0  44.4   4.0 21.90   0.0  17.5   0.7 133.6      
       2 18   0.0  59.0  33.8  36.6   4.7 25.70   0.0  32.9   1.4 224.4      
       2 19   0.0  60.7  31.6  45.0   4.3 23.50   0.0  42.9   1.8 297.5      
       2 20   0.0  55.4  31.7  40.8   5.8 30.80   0.1  32.5   1.4 169.3      
       2 21   0.0  62.2  35.7  39.8   7.6 37.60   0.0  20.3   0.8 120.6      
       2 22   0.0  65.3  31.5  32.9   5.2 27.80   0.0  41.4   1.7 277.5      
       2 23   0.0  53.6  27.1  46.1   1.7  2.60   0.0  32.9   1.4 289.1      
       2 24   0.0  65.0  22.3  32.2   2.2  8.00   0.0  27.1   1.1 156.5      
       2 25   0.0  55.4  18.0  19.0   3.0 15.00   0.0  22.1   0.9 193.7      
       2 26   0.0  22.5  15.0  17.4   3.2 16.30   0.0  16.7   0.7 163.1      
       2 27   0.0  18.1   6.5   7.1   2.2  7.90   0.0  17.1   0.7 156.7      
       2 28   0.0  16.9  -0.1  10.6   1.8  3.30   0.0  11.0   0.5  98.3      
       2 29   0.0  40.4   3.4  21.8   2.1  6.90   0.0  27.1   1.1 122.2      
       3  1   0.0  46.4  21.3  37.3   2.3  9.00   0.0  51.1   2.1 297.5      
       3  2   0.0  52.2  24.6  26.2   2.7 12.50   0.0  27.8   1.2 197.8      
